Timestamp,What is your username? (no @),What is your DV ID? (no @),Would you like to be a backup Santa?,Would you like to apply to be an artist helper?,"I certify that I have been cleared for official registration by filling out an approved preregistration form, and that my name appears on the list of approved names on the front page.",Is there anyone you are not comfortable with being matched up with?,Mark prompts that you would MOST like to draw.,"Mark prompts that you are okay with drawing, but aren't your first choice.","Mark which prompts you DO NOT want to draw. If you are okay with drawing all of the prompts listed, you may skip this question.","Since we can't fit every single type of prompt into the previous questions, you can let us know any additional information about what you do or do not want to draw.",Mark which prompt(s) apply to your first custom design request!,"Describe your first custom request in more detail, including the pet, whether it is evo/non-evo, and reference images if necessary.",Mark which prompt(s) apply to your second custom design request!,"Describe your second custom request in more detail, including the pet, whether it is evo/non-evo, and reference images if necessary.",Anything else you would like us (the event helpers) to know?,"After the accessory I make is approved, I understand I must fill out a submission form and will transfer ownership to Nature #5192. She will then hold onto it until it is ready to transfer to the intended recipient.","While working on my accessory, I will keep the identity of my recipient secret and will not publicly share any WIPs, sneak peeks, or the completed design until Dec 25th (Christmas Day). If I need assistance with my accessory, I will privately contact one of the Artist Helpers. If I need to ask a clarifying question to my recipient, I will contact Nature #5192 to relay the message for me indirectly.",I am expected to deliver a completed accessory by the deadline of Dec 20. Failure to do so will result in multiple penalties including: a ban from participating in any future AAA-sponsored events and removal from the AAA guild/server as applicable. I also will not receive my gifted accessory if I fail to deliver my part.,"I understand I may use the accessory gifted to me for personal use or give out free uses, but I may NOT sell uses commercially. I also understand that the accessory I gift may also be used for personal use/free use grants.","Provide any secondary contact information here (such as discord account, FR account, Twitter, etc.)"
11/16/2020 2:08:28,Frionivalis,21066,Yes,Yes,I agree.,,"Cute/Pastel, Food/Objects","Background, Clothing, Floral/Nature, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk","Metal/Armor, Repose, Spooky/Horror","Please avoid ""Clowns"" (but that probably included in Spooky/Horror, just want to stress on about that) and anything that is related to ""Insects"" (Insect wings are fine though!)","Background, Floral/Nature","My request is for Stonevine Deericorn (non-evo). I would like a tree branch hanging from the left side in the background (like the pet's head is at the front of the branch, but its back is against the branch a little bit). You can go wild with the rest...such as..rune rocks, stones, or grass. Try not to add any nature stuffs on the pet though.","Background, Clothing, Food/Objects, Jewelry/Filigree","This one is for Seanaut Pup (Non-evo). This one is more ""open"" than first request, so I went ahead to add this second one. I would like some sort of ""star + water"" theme. You could only add stars around the pup if you aren't sure :D Just have fun >w< ",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,
11/16/2020 2:47:38,Susie,22101,No,No,I agree.,,"Background, Clothing, Cute/Pastel, Floral/Nature","Body Markings/Patterns, Ribbons/Silk","Hair/Wigs, Repose, Spooky/Horror",,"Background, Clothing, Floral/Nature","I'd like to get an accessory for my non-evo sunestone goat. 

What I had in mind are daisies or sunflowers (I'd like the flowers to be white/yellow bc I feel that these colours suit the goat well but maybe some pastel colours would match it too? I'll leave it to the artist to try out ;)
maybe a hat with the flower/ the goat eating the flower/some flowers around/the flowers twisting around the horns, or all the things combined ;D  

I just want some flowers there so if you have a better idea on how to 'arrange' them feel free to do it ^-^ 

My only more specific wish is for the accessory to match the DV art style ",,,,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,"you can cantact me on tumblr @susannaaah or if tumblr it's not possible my discord is zuzia#3730 but I use it more rarely, though I hope you'll be able to reach me on DV :)"
11/16/2020 2:29:45,blair,22638,No,No,I agree.,,"Background, Body Markings/Patterns, Cute/Pastel, Floral/Nature, Jewelry/Filigree","Clothing, Hair/Wigs, Repose, Ribbons/Silk","Plushie/Fake Companion, Spooky/Horror","embellishments and minimal reposes, facial expressions I can do and enjoy doing- but not so much a full blown repose. Markings, makeup, objects, christmas lights, or snacks etc. is would I'd like to do :). I can do things like hats, gloves, masks - but coats, dresses, cardigans and things are not my speciality..","Background, Body Markings/Patterns, Clothing, Cute/Pastel, Food/Objects, Hair/Wigs, Repose","Evo glass orb fox, please!  Cutie, maybe psychic themes.. moon theme? bigger eyes perhaps? I'm open to your creativity :) kawaii somewhat if possible","Background, Body Markings/Patterns, Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Hair/Wigs, Plushie/Fake Companion, Repose, Ribbons/Silk","Evo red heart rabbit - shamelessly obsessively in love vibes, cutie & wild - again, open to whatever creativity flows ","Thanks! This seems all very well organized! I'm not sure how the accessory is meant to be ready for ownership transfer on the 25th if we have to submit for the queue by dec 20th, it normally takes like a month- I guess let me know if I have that wrong in some way. ",I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,
11/16/2020 2:54:55,Noetsie,18534,Yes,Yes,I agree.,,"Background, Body Markings/Patterns, Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Plushie/Fake Companion, Ribbons/Silk, Spooky/Horror","Hair/Wigs, Jewelry/Filigree, Repose",Metal/Armor,,"Clothing, Cute/Pastel, Hair/Wigs, Repose, Ribbons/Silk","I would love an victorian inspired outfit for my SCALED OCEANLING, anything with lace and/or ruffles will make me so happy, but please feel free to interpret as you want! Feel free to make either a evo version or non evo version whichever you prefer! (I tagged as a repose, because feel free to do so but it's not a must!)","Background, Cute/Pastel, Floral/Nature",I'd love an aquascape inspired background for my CORAL SEAMAID. Please feel free to interpret as you want! Feel free to make either a evo version or non evo version whichever you prefer!,You are all lovely,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,My discord username is: Noetsie 18534#1884
11/16/2020 3:17:13,Vaer,23036,No,No,I agree.,,"Floral/Nature, Jewelry/Filigree, Ribbons/Silk","Body Markings/Patterns, Clothing, Cute/Pastel, Hair/Wigs","Background, Food/Objects, Metal/Armor",,"Jewelry/Filigree, Repose, Ribbons/Silk, Spooky/Horror","For Obsidian dragon pet:
Mainly would just like them to have some jewelry/silks on them!
Optional:
Skulls/bones on the ground would be nice :D
A very minor repose to close their eyes would also be great","Background, Floral/Nature, Repose","Obsidian dragon evo:
Just the dragon in a sparkly lotus pond (probably at night!) optionally closed eyes repose would be cool hehe",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,努力努力再努力#3785
11/16/2020 4:02:35,Irmingard,19884,No,No,I agree.,,"Clothing, Jewelry/Filigree","Background, Body Markings/Patterns, Cute/Pastel, Floral/Nature, Ribbons/Silk, Spooky/Horror","Food/Objects, Hair/Wigs, Metal/Armor, Plushie/Fake Companion, Repose","Can do slight facial expression change, but do not want to do repose.","Hair/Wigs, Ribbons/Silk","(better non-evo) Bardling with grey/silver/white wig/hair (curly, ponytail with a ribbon). Any other decoration/background is optional. ",,,"I wish to be assigned with a not-too-complicated request if it's possible. I just started doing accessories this month, and my skill might not be enough to do a very complicated one.",I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,FR with same ID.
11/16/2020 4:31:41,brierilee,19230,No,No,I agree.,,"Food/Objects, Floral/Nature, Jewelry/Filigree, Plushie/Fake Companion, Ribbons/Silk","Background, Clothing, Cute/Pastel, Metal/Armor, Spooky/Horror","Body Markings/Patterns, Hair/Wigs, Repose",,"Background, Cute/Pastel, Floral/Nature","A quickened turnipling sitting in a field of flowers and/or with a flower crown. The flowers I had in mind are everlastings, a type of Western Australian wildflower. Here are some sites with pictures of them: http://anpsa.org.au/r-chl.html; paper-daisy-pink-and-white-everlasting; https://www.abc.net.au/news/2019-10-20/koji-flowers-3-1/11621324?nw=0. Another similar flower would also work. I don't mind whether it's for evo or non-evo. ","Food/Objects, Jewelry/Filigree, Metal/Armor, Ribbons/Silk","An emerald dragonlet guarding a small hoard of treasure, probably involving gems/emeralds somewhat like the one on its chest, and ribbons/silk somewhat like the ribbon on its tail. Probably also involving coins, and maybe various other precious metal objects. Anything that looks like it belongs in a dragon's hoard works. I don't mind whether it's for evo or non-evo; in saying that, though, I don't actually have an evolved emerald dragonlet yet, so if it's for evo it may be a while before I actually use it",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,
11/16/2020 4:59:29,Olga,49141,Yes,No,I agree.,,"Background, Cute/Pastel, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Ribbons/Silk","Body Markings/Patterns, Clothing, Food/Objects, Plushie/Fake Companion",Metal/Armor,"I should be able to do minor/limb repose, but am not confident in a repose that involves heads at different facing profiles. ","Background, Clothing, Jewelry/Filigree, Ribbons/Silk","Make a prismatic pup into a Greek goddess! Specifically, Iris, goddess of the rainbow. No firm details on what exactly that looks like, but would love some gold jewelry, flowy fabrics, and a bit of rainbow worked into the background if possible. Pup is non evo at the moment!","Background, Floral/Nature",Give the Glowshroom rabbit a nice moody ethereal forest to play in? Bonus for sparkles!,I am dumb and don't know if at least one of my requests is considered simple; please let me know if I need to provide a more beginner friendly option!,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Discord in AAA server!
11/16/2020 5:33:21,queercore,27717,Yes,Yes,I agree.,,"Clothing, Hair/Wigs, Repose, Spooky/Horror","Body Markings/Patterns, Food/Objects, Floral/Nature, Jewelry/Filigree, Ribbons/Silk",,,"Clothing, Hair/Wigs","queercore/queer punk inspired outfit, for example: a leather or denim jacket on a pet with a couple of pride related (eg. pride flags) patches or pins would be amazing, and/or maybe a mullet or mohawk haircut, with fun and messy make-up! im fairly neutral in terms of which pet, and am happy to switch out on pets that may already have accessories or get another pet for it (my menagerie: https://dappervolk.com/menagerie/27717) but it would be nice if it was for a pet i dont have anything for already :). Small warning that google images and other browsers might recommend some gucci shoes if you look up queercore fashion/clothing; they arent queercore theyre just a billion dollar company appropriating a subculture's name.","Clothing, Food/Objects, Spooky/Horror","if queercore/queer punk isnt your thing: im also really into anything fun and spooky!  maybe an evil wizard or necromancer accessory, casting an spell? i think something like that would look really cool on a voyager bat, but again im neutral in terms of which pet, and am happy to switch out on pets that may already have accessories or get another pet for it (my menagerie: https://dappervolk.com/menagerie/27717) if you'd like to make it for another :)! thank you",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,"i am on aaa server on discord. in case of emergency, i have a tumblr i check regularly @outcast-stomp and an instagram account i check slightly less regularly @literalcarrot"
11/17/2020 7:13:01,CloudiiSkii,48172,No,Yes,I agree.,Vaer,"Cute/Pastel, Food/Objects","Background, Clothing, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion","Body Markings/Patterns, Floral/Nature, Hair/Wigs, Repose, Spooky/Horror",There isn't really any idditional infomation you need to know apart from that I'm terrible at shading so I guess it wouldn't be a good idea to pair me with someone who loves shading.,"Cute/Pastel, Floral/Nature, Plushie/Fake Companion, Ribbons/Silk","I would like the pet to be on a Swamp Hound, preferably non-evo but evo is fine as well. Preferably I would like to have the plushie as a little stuffed bear and the Swamp Hound would be with a silk scarf and some ribbons with some flowers on the ribbons. Also could there be flowers on the ground around the bear and some other around the Swamp Hound.","Floral/Nature, Metal/Armor, Plushie/Fake Companion, Repose","I would like the pet to be on a Swamp Hound, preferably non-evo but evo is fine as well. Preferably I would like to have the plushie be a little stuffed bear wearing armor like pieces and the Swamp Hound would be with armor parts and the foot would be lifted off the ground with some mushrooms around the bear and the swamp hound.",There is nothing else I would like you all (the event helpers & myself XD) to know.,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,I'm in the AAA server & you can contact me on discord at - ꪑꪮꪮꪀꪶ꠸ᧁꫝꪻ #4496.
